,stationid
# NOAA-COOPS stations: Pacific Ocean 
0,9440083
1,9440422
2,9440569
3,9440581
4,9440910
5,9441102
6,9442396
7,9443090
8,9444090
9,9444900
10,9445958
11,9446484
12,9449880
13,1619010
14,1630000
15,1631428
16,1770000
17,1820000
18,1890000
19,9432780
20,9435380
21,9437540
22,9439040
23,9439099
24,9439201
25,1611400
26,1612340
27,1612480
28,1615680
29,1617433
30,1617760
31,9410170
32,9410230
33,9410660
34,9410840
35,9411340
36,9412110
37,9413450
38,9414290
39,9414523
40,9414750
41,9414863
42,9415020
43,9415102
44,9415144
45,9416841
46,9418767
47,9419750
48,9450460
49,9451054
50,9451600
51,9452210
52,9452400
53,9452634
54,9453220
55,9454050
56,9454240
57,9455090
58,9455500
59,9455760
60,9455920
61,9457292
62,9457804
63,9459450
64,9459881
65,9461380
66,9461710
67,9462450
68,9462620
69,9463502
70,9464212
71,9468333
72,9468756
73,9491094
74,9497645
